Pair_n,Trial_n,Collective,Leader,Follower,Pair_diff,Leader_collective_membership_benefit,Follower_collective_membership_benefit
1,13,0.3575334241984863,0.007859364737335506,-0.3575334241984863,0.36539278893582183,-0.3496740594611508,0.0
1,14,0.007859364737335506,0.007859364737335506,-0.32178008466944885,0.32963944940678436,0.0,0.31392071993211335
1,15,0.32178008466944885,0.006017491806808772,-0.32178008466944885,0.3277975764762576,-0.3157625928626401,0.0
1,16,0.2896020701526184,0.006017491806808772,-0.2896020701526184,0.2956195619594272,-0.28358457834580963,0.0
1,17,0.006017491806808772,0.006017491806808772,-0.260641857087471,0.2666593488942798,0.0,0.25462436528066223
1,18,0.004608646620575252,0.004608646620575252,-0.260641857087471,0.26525050370804626,0.0,0.25603321046689576
1,19,0.0035305774105227616,0.0035305774105227616,-0.260641857087471,0.26417243449799377,0.0,0.25711127967694825
1,20,0.00270520209199554,0.00270520209199554,-0.260641857087471,0.26334705917946655,0.0,0.25793665499547547
1,21,0.002073035229507747,0.002073035229507747,-0.260641857087471,0.26271489231697875,0.0,0.25856882185796326
1,22,0.260641857087471,0.0015887474907076982,-0.260641857087471,0.2622306045781787,-0.2590531095967633,0.0
1,23,0.2345776548980255,0.0015887474907076982,-0.2345776548980255,0.2361664023887332,-0.2329889074073178,0.0
1,24,0.0015887474907076982,0.0015887474907076982,-0.21111988931880188,0.21270863680950958,0.0,0.20953114182809418
1,25,0.0012177383793032792,0.0012177383793032792,-0.21111988931880188,0.21233762769810516,0.0,0.2099021509394986
2,0,0.008250235298325248,-0.008250235298325248,0.4501441116645628,0.45839434696288806,0.0,0.44189387636623756
2,1,0.4501441116645628,-0.0038586842805640176,0.4501441116645628,0.4540027959451268,-0.4462854273839988,0.0
2,2,0.33808901861455976,-0.0038586842805640176,0.33808901861455976,0.3419477028951238,-0.33423033433399574,0.0
2,3,0.2528507109000975,-0.0038586842805640176,0.2528507109000975,0.2567093951806615,-0.24899202661953346,0.0
2,4,0.0038586842805640176,-0.0038586842805640176,0.18811526850011884,0.19197395278068285,0.0,0.18425658421955482
